key,date,new_cases,new_deaths,cumulative_cases,cumulative_deaths,population,country,state_province,county,aggregation_level
AR_C_006,2020-07-01,4,0,213,8,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-07,9,0,255,9,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-24,2,0,34,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-08-04,29,0,826,26,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-27,5,1,183,8,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-03-20,0,0,0,0,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-18,12,1,412,15,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-19,20,1,432,16,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-08,0,0,16,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-06,10,0,246,9,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-23,1,0,32,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-25,3,0,37,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-20,1,0,23,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-08-15,10,2,1034,36,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-05,6,0,236,9,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-29,23,1,651,22,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-18,1,0,20,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-09,10,0,86,5,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-25,7,0,174,6,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-28,4,0,43,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-17,25,1,400,14,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-08-07,20,2,896,29,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-16,24,0,375,13,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-28,1,0,12,3,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-26,1,0,11,3,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-06,5,0,70,5,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-08-02,22,1,755,26,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-08-06,19,1,876,27,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-11,6,0,287,10,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-27,18,0,603,21,176076,Argentina,City of Buenos Aires,Caballito,2
